# sin^2(theta_24)   Delta_m^2_41   chi^2
7.94328e-05 0.125893 1869.07
7.94328e-05 0.158489 4726.95
7.94328e-05 0.199526 11914
7.94328e-05 0.251189 29911.6
7.94328e-05 0.316228 74735.2
7.94328e-05 0.398107 185550
7.94328e-05 0.501187 456706
7.94328e-05 0.630957 1.11104e+06
7.94328e-05 0.794328 2.66217e+06
7.94328e-05 1 6.26115e+06
7.94328e-05 1.25893 1.43912e+07
7.94328e-05 1.58489 3.19695e+07
7.94328e-05 1.99526 6.66538e+07
7.94328e-05 2.51189 1.23828e+08
7.94328e-05 3.16228 1.94028e+08
7.94328e-05 3.98107 2.50684e+08
7.94328e-05 5.01187 2.75167e+08
7.94328e-05 6.30957 2.73549e+08
7.94328e-05 7.94328 2.56608e+08
7.94328e-05 10 2.11546e+08
7.94328e-05 12.5893 1.42684e+08
7.94328e-05 15.8489 1.03261e+08
7.94328e-05 19.9526 8.31693e+07
7.94328e-05 25.1189 5.72494e+07
7.94328e-05 31.6228 4.677e+07
7.94328e-05 39.8107 3.50462e+07
7.94328e-05 50.1187 2.05569e+07
7.94328e-05 63.0957 1.22222e+07
7.94328e-05 79.4328 8.35409e+06
0.0001 0.0001 -1.67114
0.0001 0.000125893 -1.63748
0.0001 0.000158489 -1.55753
0.0001 0.000199526 -1.41714
0.0001 0.000251189 -1.49157
0.0001 0.000316228 -1.45604
0.0001 0.000398107 -1.49978
0.0001 0.000501187 -1.54405
0.0001 0.000630957 -1.63284
0.0001 0.000794328 -1.46781
0.0001 0.001 -1.39306
0.0001 0.00125893 -1.62531
0.0001 0.00158489 -1.56977
0.0001 0.00199526 -1.42873
0.0001 0.00251189 -1.39504
0.0001 0.00316228 -1.32235
0.0001 0.00398107 -1.46278
0.0001 0.00501187 -1.71157
0.0001 0.00630957 -1.32399
0.0001 0.00794328 -1.46888
0.0001 0.01 -1.06012
0.0001 0.0125893 -0.46605
0.0001 0.0158489 -0.0962936
0.0001 0.0199526 1.0495
0.0001 0.0251189 3.05579
0.0001 0.0316228 10.1969
0.0001 0.0398107 26.7732
0.0001 0.0501187 69.7244
0.0001 0.0630957 178.743
0.0001 0.0794328 457.689
0.0001 0.1 1167.18
0.0001 0.125893 2962.81
0.0001 0.158489 7491.26
0.0001 0.199526 18881.5
0.0001 0.251189 47403.3
0.0001 0.316228 118442
0.0001 0.398107 294065
0.0001 0.501187 723798
0.0001 0.630957 1.7608e+06
0.0001 0.794328 4.21906e+06
0.0001 1 9.92279e+06
0.0001 1.25893 2.28074e+07
