# sin^2(theta_24)   Delta_m^2_41   chi^2
3.16228e-05 31.6228 1.0857e-07
3.16228e-05 39.8107 1.15753e-07
3.16228e-05 50.1187 8.72233e-08
3.16228e-05 63.0957 8.11526e-08
3.16228e-05 79.4328 7.84969e-08
3.98107e-05 0.0001 1.48056e-08
3.98107e-05 0.000125893 1.5088e-08
3.98107e-05 0.000158489 1.58112e-08
3.98107e-05 0.000199526 1.73483e-08
3.98107e-05 0.000251189 2.0359e-08
3.98107e-05 0.000316228 2.59796e-08
3.98107e-05 0.000398107 3.60498e-08
3.98107e-05 0.000501187 5.32064e-08
3.98107e-05 0.000630957 8.04133e-08
3.98107e-05 0.000794328 1.18975e-07
3.98107e-05 0.001 1.62428e-07
3.98107e-05 0.00125893 1.83613e-07
3.98107e-05 0.00158489 1.40033e-07
3.98107e-05 0.00199526 5.01105e-08
3.98107e-05 0.00251189 9.50767e-09
3.98107e-05 0.00316228 3.18356e-08
3.98107e-05 0.00398107 1.62892e-07
3.98107e-05 0.00501187 2.73688e-07
3.98107e-05 0.00630957 1.57934e-07
3.98107e-05 0.00794328 1.24028e-07
3.98107e-05 0.01 1.52604e-07
3.98107e-05 0.0125893 1.80407e-07
3.98107e-05 0.0158489 1.37278e-07
3.98107e-05 0.0199526 1.31225e-07
3.98107e-05 0.0251189 9.62285e-08
3.98107e-05 0.0316228 1.42188e-07
3.98107e-05 0.0398107 1.54328e-07
3.98107e-05 0.0501187 1.27521e-07
3.98107e-05 0.0630957 1.05592e-07
3.98107e-05 0.0794328 1.63533e-07
3.98107e-05 0.1 1.07301e-07
3.98107e-05 0.125893 1.12466e-07
3.98107e-05 0.158489 1.47828e-07
3.98107e-05 0.199526 8.87165e-08
3.98107e-05 0.251189 1.41556e-07
3.98107e-05 0.316228 1.15051e-07
3.98107e-05 0.398107 1.20063e-07
3.98107e-05 0.501187 1.22931e-07
3.98107e-05 0.630957 1.53476e-07
3.98107e-05 0.794328 1.80706e-07
3.98107e-05 1 1.92741e-07
3.98107e-05 1.25893 1.08743e-07
3.98107e-05 1.58489 1.40077e-07
3.98107e-05 1.99526 1.58171e-07
3.98107e-05 2.51189 9.47983e-08
3.98107e-05 3.16228 1.13486e-07
3.98107e-05 3.98107 1.3281e-07
3.98107e-05 5.01187 9.99816e-08
3.98107e-05 6.30957 1.70232e-07
3.98107e-05 7.94328 8.61311e-08
3.98107e-05 10 1.35624e-07
3.98107e-05 12.5893 9.81323e-08
3.98107e-05 15.8489 8.31093e-08
3.98107e-05 19.9526 1.29847e-07
3.98107e-05 25.1189 1.26018e-07
3.98107e-05 31.6228 1.72069e-07
3.98107e-05 39.8107 1.83453e-07
3.98107e-05 50.1187 1.38237e-07
3.98107e-05 63.0957 1.28616e-07
3.98107e-05 79.4328 1.24407e-07
5.01187e-05 0.0001 2.34631e-08
5.01187e-05 0.000125893 2.39107e-08
5.01187e-05 0.000158489 2.50569e-08
5.01187e-05 0.000199526 2.7493e-08
5.01187e-05 0.000251189 3.22647e-08
5.01187e-05 0.000316228 4.11727e-08
5.01187e-05 0.000398107 5.71329e-08
5.01187e-05 0.000501187 8.43243e-08
5.01187e-05 0.000630957 1.27445e-07
5.01187e-05 0.000794328 1.88562e-07
5.01187e-05 0.001 2.5743e-07
5.01187e-05 0.00125893 2.91008e-07
5.01187e-05 0.00158489 2.21937e-07
5.01187e-05 0.00199526 7.94195e-08
5.01187e-05 0.00251189 1.50697e-08
5.01187e-05 0.00316228 5.0455e-08
5.01187e-05 0.00398107 2.58163e-07
5.01187e-05 0.00501187 4.33765e-07
5.01187e-05 0.00630957 2.50306e-07
5.01187e-05 0.00794328 1.9657e-07
5.01187e-05 0.01 2.41858e-07
5.01187e-05 0.0125893 2.85923e-07
5.01187e-05 0.0158489 2.17568e-07
5.01187e-05 0.0199526 2.07974e-07
5.01187e-05 0.0251189 1.52508e-07
5.01187e-05 0.0316228 2.25349e-07
5.01187e-05 0.0398107 2.44589e-07
5.01187e-05 0.0501187 2.02103e-07
5.01187e-05 0.0630957 1.67348e-07
5.01187e-05 0.0794328 2.59179e-07
5.01187e-05 0.1 1.70056e-07
5.01187e-05 0.125893 1.78244e-07
5.01187e-05 0.158489 2.34287e-07
5.01187e-05 0.199526 1.40603e-07
5.01187e-05 0.251189 2.24347e-07
5.01187e-05 0.316228 1.82339e-07
5.01187e-05 0.398107 1.90283e-07
